meal_id,user_id,meal_type,meal_time,carbs (g),protein (g),fat (g),fiber (g),sugar (g)
U1_D0_Breakfast,1,Breakfast,07:30:00,82.81254589905717,17.60620606475444,7.44197469164779,3.9276398154193846,13.501276900887753
U1_D0_Lunch,1,Lunch,13:30:00,97.60632090957944,,16.766593478861473,10.129973187468682,27.5016347077939
U1_D0_Dinner,1,Dinner,23:30:00,33.78217010672067,34.00858052548863,15.717182921118674,9.736021178157095,11.151389711106217
U1_D0_Snack,1,Snack,22:45:00,63.03871958909742,12.655757296455253,14.383011635624444,5.348545349776643,12.521652984006025
U1_D1_Breakfast,1,Breakfast,09:00:00,56.60806756687463,14.266723501048462,10.435017918784904,14.086671460860236,7.383313477884597
U1_D1_Lunch,1,Lunch,14:00:00,52.012727888942,13.470281509301937,14.053785991669283,10.632727022012599,9.577241040853604
U1_D1_Dinner,1,Dinner,19:00:00,24.953857889102203,30.425904687728238,14.988031201996604,4.9273297331123995,25.026782925974512
U1_D1_Snack,1,Snack,18:00:00,47.03215514185381,18.244180332975496,24.11648252263556,11.98293139392776,14.885010302058921
U1_D2_Breakfast,1,Breakfast,03:00:00,36.02899872488179,13.717513610330887,14.191726657931195,11.108873072686952,19.934655841971313
U1_D2_Lunch,1,Lunch,17:00:00,84.62026354623508,,13.700959616451868,14.831284001341452,
U1_D2_Dinner,1,Dinner,19:00:00,94.46493219434016,,14.3050862802259,5.380663774723838,8.246669176209277
U1_D2_Snack,1,Snack,21:30:00,,22.484105714083142,7.827673696854656,8.708271294485193,17.21921030935736
U1_D3_Breakfast,1,Breakfast,08:00:00,30.544128423971586,26.535917407583604,19.44378798459021,6.437631485295796,16.024304994222263
U1_D3_Lunch,1,Lunch,13:00:00,78.676219143484,34.20924471142864,5.883575871109439,8.089099940611423,14.331923053878302
U1_D3_Dinner,1,Dinner,20:00:00,38.65547190188017,32.71129248455834,20.640091669529436,3.5497387811589802,7.844783669336754
U1_D3_Snack,1,Snack,21:30:00,69.95844973149852,16.09468103931817,13.755969775840967,6.572607787922275,15.886467562552243
U1_D4_Breakfast,1,Breakfast,03:00:00,99.921934015402,15.969703656171673,16.770755019302612,6.238895470405688,28.532065381633075
U1_D4_Lunch,1,Lunch,12:30:00,54.057791839512745,16.527344293387397,13.745067952096628,,15.108922127600223
U1_D4_Dinner,1,Dinner,19:00:00,96.27678666175473,13.648196907121513,12.628349812427649,8.641783311293963,29.827451990674515
U1_D4_Snack,1,Snack,16:00:00,50.97253363353643,12.231978086179906,8.851616512977994,5.4203522984242465,5.460090359603857
U1_D5_Breakfast,1,Breakfast,08:00:00,83.7081416078749,36.6295969846496,22.76855295728084,13.159080857371315,8.747398906651089
U1_D5_Lunch,1,Lunch,13:30:00,73.75459220982805,37.17852331008443,11.100545456346566,3.241886629787157,19.724173668889783
U1_D5_Dinner,1,Dinner,19:30:00,64.0467625118824,17.496029085491685,11.84392654018694,10.79590298670309,20.259721406355197
U1_D5_Snack,1,Snack,16:00:00,90.9167996381869,17.27961694449415,8.499292605955105,5.615553530729339,6.133038073601369
U1_D6_Breakfast,1,Breakfast,07:30:00,26.046116423703147,20.120332437716257,21.594145843565443,6.107042598347675,16.4170903570813
U1_D6_Lunch,1,Lunch,17:00:00,48.217523331606465,35.21028216494457,13.255229007427136,5.014767814255799,19.220211729736505
U1_D6_Dinner,1,Dinner,23:30:00,31.396886349546087,38.36123777797282,13.171013827945634,8.790962925027475,15.062123084775273
U1_D6_Snack,1,Snack,18:00:00,28.45917424708947,35.35734727004376,11.688962477169632,8.591414001826092,20.997022697533346
U1_D7_Breakfast,1,Breakfast,08:30:00,50.68162951067046,16.89497603333038,19.952313400396452,10.261298730598465,
U1_D7_Lunch,1,Lunch,17:00:00,20.28610850260759,21.811145299771667,21.46854964844827,5.514300431217361,12.601168113116819
U1_D7_Dinner,1,Dinner,23:30:00,91.68498948948644,29.302606843595132,16.234921884963406,5.861991672869126,8.425300869869647
U1_D7_Snack,1,Snack,16:00:00,64.09821885083994,27.607161546521965,20.63295842093891,7.433547157599781,17.271436984059612
U1_D8_Breakfast,1,Breakfast,07:30:00,60.450421869921705,37.279910840577024,19.673721875877725,4.989805196112565,14.798638549815342
U1_D8_Lunch,1,Lunch,17:00:00,92.76362536593919,22.743697043821385,14.005639382550966,9.839035579570595,20.89763988695627
U1_D8_Dinner,1,Dinner,23:30:00,72.87661283717554,13.59597694160582,24.46096353799563,12.705364259852027,
U1_D8_Snack,1,Snack,18:00:00,53.20099129110692,33.33679853613205,13.851887904189075,3.8199785972047082,22.364431235337698
